LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> Kosta Zuri Bidea","<sprite tint=1 name=""LeftArrow""> White Coast Trail",,Original,HomeSignStart
line:8e78cb,"Basozainaren Txabola <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",,Original,HomeSignStart
line:2a55e5,"barkatu, badakizu zer ordu den?",excuse me do you have the time?,,Original,GoatStart
line:b03acc,"hm ia, utzi ikust-","um yeah, let me chec-",,Player,GoatStart
line:445422,zera... neronek jakin beharko nuke,see... normally i would know the time,,Original,GoatStart
line:e86981,baino erlojua galdu dut,i just lost my watch,,Original,GoatStart
line:b74c71,"oh, hm","oh, um",,Player,GoatStart
line:78b6fa,sentitzen dut,sorry,,Player,GoatStart
line:a60085,oso garestia zen,it was very expensive,,Original,GoatStart
line:ba52fa,eta preziorik gabea balio\nsentimentala kontuan hartuz gero,and priceless when you\nconsider the sentimental value,,Original,GoatStart
line:3407a1,aham,i see,,Player,GoatStart
line:0d0268,"aurkitzen baduzu,\nitzuliko didazu?","if you find it, can you\nbring it back to me?",,Original,GoatStart
line:aa6cf0,noski,sure,,Player,GoatStart
line:e4e4ee,"mesedez, ez saldu\ninterneten-edo",please don't sell it on\nthe internet or whatever,,Original,GoatStart
line:b427c9,niretzat oso baliotsua da,it's very valuable to me,,Original,GoatStart
line:deb271,"ez, ez kezkatu","no, don't worry",,Player,GoatStart
line:6a5e2f,bueltan ekarriko dut,i'll bring it right back,,Player,GoatStart
line:0c1b44,ok,ok,,Original,GoatStart
line:55e682,eskerrik asko,thanks,,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow""> Basozainaren Txabola","<sprite tint=1 name=""UpArrow""> Rangers Cabin",,Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1> Kosta Zuri Bidea","<sprite name=""DownArrow"" tint=1> White Coast Trail",,Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow""> Belatz Tontor Bidea\nKosta Zuri bidea <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",,Original,WhiteCoastSign
line:24d728,"<sprite tint=1 name=""DownArrow""> Sid Hondartza\n<sprite tint=1 name=""DownArrow""> Bisitarien Zentroa","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center",,Original,WhiteCoastSign
line:c3feb2,nora zoazela uste duzu?,hey! where do you think you're going?,Only if the player runs off without talking to the Aunt first.,Original,AuntRunOffStart
line:660020,"oh, hm...","oh, um...",,Player,AuntRunOffStart
line:94ad70,"ez duzu zure izeba May zaharra\nagurtu ere egin gabe hemendik\nalde egingo, ezta?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?",,Original,AuntRunOffStart
line:0377ea,ez zaitut egun osoan ikusi!,i haven't seen you all day!,,Original,AuntRunOffStart
line:2ee5c6,barkatu...,sorry...,,Player,AuntRunOffStart
line:393e8a,ez nuen hitz egin nahi,"i just, didn't feel like\ntalking i guess",,Player,AuntRunOffStart
line:8bc66d,hmm zer gertatzen da bada?,hmm what's going on?,,Original,AuntRunOffStart
line:68da3e,ez da ezer!,it's nothing!,,Player,AuntRunOffStart
line:cc2ab6,hm,um,,Player,AuntRunOffStart
line:2a2a55,dei baten zain nengoen,i've just been waiting\naround for a call,Jumps to AuntIntroEnd.,Player,AuntRunOffStart
line:69f366,zer moduz?,hey how's it going?,Only if the player talks to the Aunt first.,Original,AuntIntroStart
line:f3c007,ez zaitut egun osoan ikusi,i haven't seen you all day,,Original,AuntIntroStart
line:13113d,lanpetuta zenbiltzan?,you been busy?,,Original,AuntIntroStart
line:15e70c,"eh, pixkot","uh, kinda",,Player,AuntIntroStart
line:04670a,"beno, egia esan, ez","well, not really",,Player,AuntIntroStart
line:de5495,dei baten zain nengoen,i've just been waiting\naround for a call,,Player,AuntIntroStart
line:ac2e52,hor dago zure arazoa!,well there's your problem!,,Original,AuntIntroEnd
line:122c03,hemen ez dago estaldurarik,there's no reception out here,,Original,AuntIntroEnd
line:895cf8,itxaron...,wait...,,Player,AuntIntroEnd
line:85a826,ZER!?,WHAT!?,,Player,AuntIntroEnd
line:264290,"bai, hau da, ia ez\ndago estaldurarik","yeah, i mean, pretty much\nno reception",,Original,AuntIntroEnd
line:8a1b8c,zeozer lortu behar zenuke <color=red>Belatz Tontor</color>en,you might be able to get\nsome at <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:c175a4,"oh... bai, segur aski",oh... yeah i guess,,Player,AuntIntroEnd
line:f8213b,"baina hori urruti samar dago, ezta?",but that's pretty far\nisn't it?,,Player,AuntIntroEnd
line:b5e4af,ez dago hain urruti!,it's not that far!,,Original,AuntIntroEnd
line:2adc6a,guztiok egin izan dugu\nibilaldiren bat hara,we've all made the\ntrek before,,Original,AuntIntroEnd
line:2cc023,pentsatzen nuen dagoeneko\njoanda izango zinela,i figured you would have\ngone already,,Original,AuntIntroEnd
line:22169d,oh... bai,oh... yeah,,Player,AuntIntroEnd
line:87a10b,joateko asmoa nuen,i've been meaning to go,,Player,AuntIntroEnd
line:bb94a0,baina,but,,Player,AuntIntroEnd
line:97eccf,zera,i just,,Player,AuntIntroEnd
line:43b28d,oraindik ez naiz hara iritsi,haven't gotten around to it yet,,Player,AuntIntroEnd
line:7a4449,"tira, gaur beste edozein egun bezain ona da!",well today's as good a day\nas any!,,Original,AuntIntroEnd
line:69a1a3,...,...,Claire is silent because she has been avoiding this hike - she's nervous it will too hard.,Player,AuntIntroEnd
line:665732,hartu <color=red>Hondartza Zuri Bidea</color>\neta jo <color=red>iparraldera</color> bidegurutzean,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,,Original,AuntIntroEnd
line:4a3aac,gero jarraitu seinaleak \n<color=red>Belatz Tontor</color> aldera,then follow the signs\nfor <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:afa6b1,ez dago galtzerik!,no problem!,,Original,AuntIntroEnd
line:e4f197,<color=red>Belatz Tontor</color> benetan ederra da,<color=red>Hawk Peak</color> really is wonderful,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:8866aa,gustatuko zaizu!,you're going to love it!,,Original,AuntChat
line:3f786f,asko entzun dut horri buruz,yeah... i've heard a lot about it,,Player,AuntChat
line:1a3a17,"ibilalditxoa duzu, bai","it's quite a hike, sure",,Original,AuntChat
line:5178bc,baina gure familia belaunaldiz\nbelaunaldi joan izan da hara,but our family has been going\nthere for generations,,Original,AuntChat
line:67dceb,baiba,yup,,Player,AuntChat
