ID,Type,English,Arabic,ChineseSimplified,ChineseTraditional,Danish,Farsi,French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese,Russian,Spanish,Turkish,Ukrainian,,,,
action_1hp,Text,Earn first bonus health point,اربح أول نقطة صحة إضافية,获得第一个奖励生命值,獲得第一個獎勵生命值,Optjen første bonus helbredspoint,اولین امتیاز پاداش سلامتی را کسب کن,Remporter son premier point de santé bonus,Verdiene den ersten Bonus-Gesundheitspunkt,Dapatkan poin kesehatan bonus pertama,Guadagna il primo punto salute bonus,最初のヘルスボーナスポイントを獲得する,첫 번째 보너스인 체력 포인트 얻기,Peroleh mata kesihatan bonus yang pertama,Zdobądź pierwszy bonusowy punkt zdrowia,Ganhe o primeiro ponto de vida bônus,Заработать первое бонусное очко здоровья,Lortu lehenengo osasun puntu gehigarria.,İlk sağlık bonusu puanını kazanın,Отримайте перший бонусний бал здоров'я,,,,
action_1hp_title,Text,Back into Shape,عودة إلى الشكل,恢复原形,回到原形,Tilbage i form,دوباره بیا روی فرم,Remise en forme,Wieder fit,Kembali Sehat,Di nuovo in forma,痩せる,원래 모습으로 돌아가기,Kembali Sihat,Powrót do formy,Em forma novamente,Приходим в форму,Berriro sasoiko,Eski formunu geri kazan,Знову у формі,,,,
action_2hp,Text,Earn second bonus health point,اربح ثاني نقطة صحة إضافية,获得第二个奖励生命值,獲得第二個獎勵生命值,Optjen andet helbredspoint,دومین امتیاز پاداش سلامتی را کسب کن,Remporter son deuxième point de santé bonus,Verdiene den zweiten Bonus-Gesundheitspunkt,Dapatkan poin kesehatan bonus kedua,Guadagna il secondo punto salute bonus,2回目のヘルスボーナスポイントを獲得する,두 번째 보너스인 체력 포인트 얻기,Peroleh mata kesihatan bonus yang kedua,Zdobądź drugi bonusowy punkt zdrowia,Ganhe o segundo ponto de vida bônus,Заработать второе бонусное очко здоровья,Lortu bigarren osasun puntu gehigarria.,İkinci sağlık bonusu puanını kazanın,Отримайте другий бонусний бал здоров'я,,,,
action_2hp_title,Text,Not Skipping Leg Day,لا تتخطى يوم الراحة,不许偷懒日,不能偷懶日,Spring ikke ben træningsdag over,نباید از روز تمرین پا رد شوی,Jour de gym,Keinen Trainingstag auslassen,Tidak Bolos Olahraga Kaki,Sempre in gamba,トレーニングをサボらない,다리 운동을 건너 뛰지 않는 날,Hari Bukan Lompat Kaki,Regularne ćwiczenia,Não deixe de malhar perna,Качаем ноги,Hanka eguna ekidin gabe,Bacak Gününü Atlamayın,Не пропускаючи тренування ніг,,,,
action_3hp,Text,Earn third bonus health point,اربح ثالث نقطة صحة إضافية,获得第三个奖励生命值,獲得第三個獎勵生命值,Optjen tredje helbredspoint,سومین امتیاز پاداش سلامتی را کسب کن,Remporter son troisième point de santé bonus,Verdiene den dritten Bonus-Gesundheitspunkt,Dapatkan poin kesehatan bonus ketiga,Guadagna il terzo punto salute bonus,3回目のヘルスボーナスポイントを獲得する,세 번째 보너스인 체력 포인트 얻기,Peroleh mata kesihatan bonus yang ketiga,Zdobądź trzeci bonusowy punkt zdrowia,Ganhe o terceiro ponto de vida bônus,Заработать третье бонусное очко здоровья,Lortu hirugarren osasun puntu gehigarria.,Üçüncü sağlık bonusu puanı kazanın,Отримайте третій бонусний бал здоров'я,,,,
action_3hp_title,Text,Figment of Steel,فيجمنت أوف ستيل,钢铁幻影,Figment 巨人,Figment af Stål,فیگمنت فولادین,Imagination de fer,Gebilde aus Stahl,Figment Baja,Immaginazione di ferro,鉄の塊,강철의 피그먼트,Figment Keluli Tahan Karat,Stalowy wytwór wyobraźni,Figment de aço,Призрак из стали,Burdinezko burutazioa,Çelik Figment,Домисел з металу,,,,
ACTION_CALL,Text,Call,اتصال,呼叫,呼叫,Tilkald,صدا کنید,Appeler,Rufen,Panggil,Chiama,電話する,전화,Panggil,Zadzwoń,Ligar,Вызвать,Deitu,Ara,Кликати,,,,
ACTION_CLOSE,Text,Close,إعلاق,关闭,關閉,Luk,ببندید,Fermer,Schließen,Tutup,Chiudi,閉じる,닫기,Tutup,Zamknij,Fechado,Закрыть,Itxi,Kapat,Закрити,,,,
ACTION_CLOSE_INVENTORY,Text,Close Inventory,إغلاق المستودع,关闭物品栏,關閉目錄,Luk taske,موجودی را ببندید,Fermer l'inventaire,Inventar schließen,Tutup Inventori,Chiudi l’inventario,インベントリを閉じる,인벤토리 닫기,Tutup Inventori,Zamknij ekwipunek,Fechar inventário,Закрыть инвентарь,Itxi Inbentarioa,Envanteri Kapat,Закрити інвентар,,,,
ACTION_COLLECT,Text,Collect,جمع,收集,收集,Indsaml,بردارید,Collecter,Sammeln,Kumpulkan,Raccogli,集める,수집하기,Kumpulkan,Zbierz,Recolher,Взять,Bildu,Topla,Забрати,,,,
ACTION_EXAMINE,Text,Examine,فحص,检查,檢驗,Undersøg,امتحان کنید,Examiner,Untersuchen,Uji,Esamina,調べる,검사하기,Periksa,Zbadaj,Examinar,Исследовать,Aztertu,Sına,Оглянути,,,,
ACTION_EXITLEVEL,Text,Exit Area,الخروج من المنطقة,离开区域,離開區域,Gå videre,از منطقه خارج شوید,Quitter la zone,Gebiet verlassen,Keluar dari Area,Esci dall’area,エリアを出る,지역에서 나가기,Keluar Kawasan,Opuść obszar,Sair da área,Выйти из области,Irten Eremutik,Alandan Çık,Вийти з області,,,,
action_hit3,Text,Hit 3 enemies at once with heavy attack,اضرب 3 أعداء مرة واحدة بهجوم قوي,使用重击一次攻击 3 个敌人,用重擊一次攻擊 3 個敵人,Ram 3 fjender med et spin angreb,با حمله سنگین 3 دشمن را با یک ضربه بزن,Toucher 3 ennemis à la fois avec une attaque forte,Triff 3 Feinde auf einmal mit schwerem Angriff,Pukul 3 musuh sekaligus dengan serangan berat,Colpisci 3 nemici in una volta con un attacco potente,激しい攻撃により1度に3人の敵にダメージを与える,강력한 공격으로 3명의 적을 한번에 타격하기,Tembak 3 musuh sekaligus dengan serangan yang kuat,Traf 3 przeciwników jednocześnie mocnym atakiem,Atinja 3 inimigos de uma vez com ataque pesado,Ударить 3 врагов одновременно мощным ударом,Jo 3 etsai aldi berean eraso gogor batekin.,Ağır bir saldırı ile aynı anda 3 düşmanı vurun,Попасти по 3 ворогам одночасно масованим ударом,,,,
action_hit3_title,Text,Blademaster,سيد النصل,剑术大师,刀劍大師,Klingens mester,استاد شمشیرزن,Maître de l'épée,Klingenmeister,Ahli Belati,Maestro di spada,ブレードマスター,블레이드 마스터,Blademaster,Mistrz miecza,Mestre das lâminas,Мастер клинка,Armen Nagusia,Bıçak ustası,Майстер лез,,,,
ACTION_JUMP,Text,Jump,قفز,跳,跳,Hop,بپرید,Sauter,Springen,Lompat,Salta,ジャンプする,뛰기,Lompat,Skok,Pular,Прыгнуть,Jauzi,Atla,Стрибнути,,,,
ACTION_KICK,Text,Kick,ركل,踢,踢,Spark,لگد بزنید,Frapper,Treten,Tendang,Calcia,キックする,차기,Tendang,Kopnięcie,Chutar,Пнуть,Ostiko,Tekmele,Пхнути ногою,,,,
