NOTES;EUSKARA;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;;;;;;;;;;;;;
;JARRAITU;CONTINUE;CONTINUER;FORTSETZEN;CONTINUAR;CONTINUA;CONTINUAR;ПРОДОЛЖИТЬ;コンティニュー;이어하기;继续;繼續;
;PARTIDA BERRIA;NEW GAME;NOUVELLE PARTIE;NEUES SPIEL;NUEVA PARTIDA;NUOVA PARTITA;NOVO JOGO;НОВАЯ ИГРА;ニューゲーム;새 게임;新游戏;新遊戲;
;EZARPENAK;SETTINGS;PARAMÈTRES;EINSTELLUNGEN;AJUSTES;IMPOSTAZIONI;AJUSTES;НАСТРОЙКИ;せってい;설정;设置;設置;
;IRTEN;QUIT;QUITTER;BEENDEN;SALIR;ESCI;SAIR;ВЫЙТИ;やめる;종료;放弃;放棄;
;MAPA IKUSPEGIA;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;MAP VIEW;
;PARTIDA BERRIA+;NEW GAME+;NOUVELLE PARTIE +;NEUES SPIEL+;NUEVA PARTIDA+;NUOVA PARTITA+;NOVO JOGO+;НОВАЯ ИГРА+;ニューゲーム+;새 게임+;新游戏+;新遊戲+;
;NORMALA;NORMAL;NORMAL;NORMAL;NORMAL;NORMALE;NORMAL;ОБЫЧНЫЙ;ノーマルモード;일반;标准模式;標準模式;
;BIGARREN SAIAKERA;SECOND RUN;SECONDE ODYSSÉE;UND JETZT SCHNELL;SEGUNDO INTENTO;SECONDO GIRO;SEGUNDA VEZ;ВТОРОЙ ЗАБЕГ;ハードモード;하드 모드;难度提升;難度提升;
;MARYREN MODUA;MARY'S MODE;MODE MARY;MARYS MODUS;MODO DE MARY;MODALITÀ MARY;MODO MARY;РЕЖИМ МЭРИ;マリーモード;메리 모드;玛丽模式;瑪麗模式;
;BAI;ON;OUI;EIN;SÍ;SÌ;SIM;ВКЛ;ON;끄기;开;開;
;EZ;OFF;NON;AUS;NO;NO;NÃO;ВЫКЛ;OFF;켜기;关;關;
;PARTIDA BERRIA;NEW GAME;NOUVELLE PARTIE;NEUES SPIEL;NUEVA PARTIDA;NUOVA PARTITA;NOVO JOGO;НОВАЯ ИГРА;NEW GAME;새 게임;新游戏;新遊戲;
;PANTAILA OSOA;FULL SCREEN;PLEIN ÉCRAN;VOLLBILD;PANTALLA COMPLETA;SCHERMO INTERO;TELA INTEIRA;НА ВЕСЬ ЭКРАН;FULL SCREEN;전체화면;全屏幕;全螢幕;
;ALDATU LEIHO EDO PANTAILA OSORA#ETA BIRDIMENTSIONATU LEIHOA ARRASTATUZ;TOGGLE BETWEEN WINDOWED AND FULL SCREEN#DRAG THE WINDOW TO RESIZE IT;PLEIN ÉCRAN OU AFFICHAGE FENÊTRÉ#FAITES GLISSER LE COIN DE LA FENÊTRE#POUR AJUSTER SA TAILLE;WECHSEL VON FENSTER- ZU VOLLBILD-MODUS#FENSTER ZUM SKALIEREN ZIEHEN;CAMBIA A VENTANA O PANTALLA COMPLETA#Y REDIMENSIONA ARRASTRANDO LA VENTANA;SCEGLI FRA FINESTRA E SCHERMO INTERO#FINESTRA: TRASCINA PER RIDIMENSIONARE;USE MODO DE JANELA OU TELA INTEIRA#ARRASTE A JANELA PARA REDIMENSIONAR;ВЫБЕРИ ОКОННЫЙ ИЛИ ПОЛНОЭКРАННЫЙ РЕЖИМ#ПОТЯНИ ОКНО, ЧТОБЫ ИЗМЕНИТЬ РАЗМЕР;ウィンドウと がめんの ちょうせい#ウィンドウをドラッグして リサイズ;창모드 혹은 전체화면으로 전환합니다#창을 드래그하여 사이즈를 조절할 수 있습니다;在窗口和全屏幕之间切换＃拖动窗口调整它的大小;在視窗和全螢幕之間切換＃拖動視窗調整它的大小;
;ILUNTASUNA;DARKNESS;OBSCURITÉ;KONTRAST SCHWARZ;OSCURIDAD;CONTRASTO;ESCURIDÃO;ТЕМНОТА;DARKNESS;어둡기;暗度;暗度;
;DOITU BELTZAREN ILUNTASUNA;SET THE DARKNESS OF THE BLACK;RÉGLER L'OBSCURITÉ DU NOIR;EINSTELLUNG DER SCHWARZ-TIEFE;AJUSTA LA OSCURIDAD DEL NEGRO;IMPOSTA INTENSITÀ NERO;DEFINA A PROFUNDIDADE DO PRETO;УСТАНОВИ НАСЫЩЕННОСТЬ ЧЕРНОГО;くろさを ちょうせいする;검정색의 어두운 정도를 조절합니다;调整暗度;調整暗度;
;DISTIRA;BRIGHTNESS;LUMINOSITÉ;KONTRAST WEISS;BRILLO;LUMINOSITÀ;BRILHO;ЯРКОСТЬ;BRIGHTNESS;밝기;亮度;亮度;
;DOITU ZURIAREN DISTIRA;SET THE BRIGHTNESS OF THE WHITE;RÉGLER LA LUMINOSITÉ DU BLANC;EINSTELLUNG DER WEISS-HELLIGKEIT;AJUSTA EL BRILLO DEL BLANCO;IMPOSTA LUMINOSITÀ BIANCO;DEFINA O BRILHO DO BRANCO;УСТАНОВИ НАСЫЩЕННОСТЬ БЕЛОГО;しろさを ちょうせいする;하얀색의 밝은 정도를 조절합니다;调整亮度;調整亮度;
;MUSIKA-BOLUMENA;MUSIC VOLUME;VOLUME MUSIQUE;MUSIK-LAUTSTÄRKE;VOLUMEN DE MÚSICA;VOLUME MUSICA;VOLUME MÚSICA;ГРОМКОСТЬ МУЗЫКИ;MUSIC VOLUME;음악 음량;音乐音量;音樂音量;
;DOITU MUSIKAREN BOLUMENA;SET THE MUSIC VOLUME;RÉGLER LE VOLUME DE LA MUSIQUE;EINSTELLUNG DER MUSIK-LAUTSTÄRKE;AJUSTA EL VOLUMEN DE LA MÚSICA;IMPOSTA VOLUME MUSICA;DEFINA O VOLUME#DA MÚSICA;УСТАНОВИ ГРОМКОСТЬ МУЗЫКИ;おんりょうを せっていする;음악 음량을 조절합니다;设置音乐音量;設置音樂音量;
;BOLUMEN OROKORRA;MASTER VOLUME;VOLUME GÉNÉRAL;MASTER-LAUTSTÄRKE;VOLUMEN GENERAL;VOLUME PRINCIPALE;VOLUME GERAL;ОБЩАЯ ГРОМКОСТЬ;MASTER VOLUME;전체 음량;总音量;總音量;
;DOITU BOLUMEN OROKORRA;SET THE MASTER VOLUME OF ALL AUDIO;RÉGLER LE VOLUME GÉNÉRAL#POUR TOUS LES SONS;EINSTELLUNG DER GESAMTLAUTSTÄRKE;AJUSTA EL VOLUMEN GENERAL;IMPOSTA VOLUME GLOBALE;DEFINA O VOLUME#GERAL DE TODO ÁUDIO;УСТАНОВИ ОБЩУЮ ГРОМКОСТЬ ВСЕГО АУДИО;マスターボリュームを せっていする;모든 오디오의 전체 음량을 조절합니다;设置总音量;設置總音量;
;IRUDIAK IZOZTU;FREEZE FRAMES;DÉLAI ATTAQUE;STOPP-FRAMES;CONGELAR IMÁGENES;FERMO IMMAGINE;CONGELAR IMAGEM;СТОП-КАДР;FREEZE FRAMES;멈춤 효과;定格;定格;
;IRUDIAK IZOZTU BAI/EZ;TOGGLE FREEZE FRAMES;FIGER BRIÈVEMENT IMAGES#AVANT ET APRÈS ATTAQUE;STOPP-FRAMES EIN/AUS;CONGELAR IMÁGENES SÍ/NO;ATT./DISATT. FERMO IMMAGINE;ATIVE/DESATIVE O#CONGELAMENTO DE IMAGEM;ВКЛЮЧИ ИЛИ ВЫКЛЮЧИ СТОП-КАДР;コマおくりを ちょうせいする;공격 시 발생하는 멈충 효과를 전환합니다;切换定格;切換定格;
;PANTAILAREN DARDARA;SCREEN SHAKE;TREMBLEM. ÉCRAN;BILDBEBEN;VIBRACIÓN DE PANTALLA;TREMOLIO SCHERMO;TREMER TELA;ТРЯСКА ЭКРАНА;SCREEN SHAKE;화면 흔들림;屏幕抖动;螢幕抖動;
;DOITU PANTAILAREN DARDARA;SET THE AMOUNT OF SCREEN SHAKE;RÉGLER L'INTENSITÉ#DES TREMBLEMENTS D'ÉCRAN;EINSTELLUNG DER STÄRKE DES BILDBEBENS;AJUSTA LA VIBRACIÓN DE PANTALLA;IMPOSTA TREMOLIO SCHERMO;DEFINA O QUANTO A TELA#DEVE TREMER;УСТАНОВИ СТЕПЕНЬ ТРЯСКИ ЭКРАНА;がめんのゆれを せっていする;화면이 흔들리는 정도를 조절합니다;设置屏幕抖动次数;設置螢幕抖動次數;
;KONTROLAK;CONTROLS;COMMANDES;STEUERUNG;CONTROLES;COMANDI;CONTROLES;УПРАВЛЕНИЕ;CONTROLS;조작;控制;控制;
;ALDATU KONTROLAK;CHANGE THE CONTROLS;MODIFIER LES COMMANDES;ANPASSUNG DER STEUERUNG;CAMBIA LOS CONTROLES;MODIFICA COMANDI;MUDE OS CONTROLES;СМЕНИ УПРАВЛЕНИЕ;そうさを へんこうする;조작을 변경합니다;改变控制;改變控制;
;HIZKUNTZA;LANGUAGE;LANGUE;SPRACHE;IDIOMA;LINGUA;IDIOMA;ЯЗЫК;LANGUAGE;언어;语言;語言;
;HIZKUNTZA ALDATU;CHANGE THE LANGUAGE;CHANGER LA LANGUE;AUSWAHL DER SPRACHE;CAMBIA DE IDIOMA;CAMBIA LINGUA;MUDE O IDIOMA;ПОМЕНЯЙ ЯЗЫК;げんごを へんこうする;언어를 변경합니다;更改语言;更改語言;
;BEGANOA;VEGAN;VÉGÉTARIEN;VEGAN;VEGANA;VEGANO;VEGANO;ВЕГАН;VEGAN;채식;素食;素食;
;DIETA MOTA ALDATU;CHANGE DIETARY PREFERENCES;MODIFIER LES PRÉFÉRENCES ALIMENTAIRES;AUSWAHL DER ESSENSWÜNSCHE;CAMBIAR TIPO DE DIETA;CAMBIA PREFERENZE ALIMENTARI;MUDE AS PREFERÊNCIAS#ALIMENTARES;СМЕНИ ДИЕТИЧЕСКИЕ ПРЕДПОЧТЕНИЯ;しょくじモードを へんこうする;식사 취향을 변경합니다;更改饮食偏好;更改飲食偏好;
;BERREZARRI;RESET;RÉINITIALISER;ZURÜCKSETZEN;RESTABLECER;RIPRISTINA;REDEFINIR;СБРОС;RESET;초기화;重置;重置;
;BERREZARRI LEHENETSITAKO EZARPENAK;RESET TO DEFAULT SETTINGS;REVENIR AUX PARAMÈTRES PAR DÉFAUT;EINSTELLUNGEN AUF VORGABE SETZEN;RESTABLECER AJUSTES POR DEFECTO;RIPRISTINA IMPOST. PREDEF.;RESTAURE AS OPÇÕES PADRÃO;УСТАНОВИ НАСТРОЙКИ ПО УМОЛЧАНИЮ;デフォルトの せっていに もどす;기본 설정으로 초기화합니다;恢复默认设置;恢復默認設置;
;;;;;;;;;;;;;
;BERREZARRI;RESET;RÉINITIALISER;ZURÜCKSETZEN;RESTABLECER;RIPRISTINA;REDEFINIR;СБРОС;RESET;초기화;重置;重置;
;BERREZARRI LEHENETSITAKO KONTROLAK;RESET TO DEFAULT CONTROLS;REVENIR AUX COMMANDES PAR DÉFAUT;STEUERUNG AUF VORGABE SETZEN;RESTABLECER CONTROLES POR DEFECTO;RIPRISTINA COMANDI PREDEF.;RESTAURE OS CONTROLES#PADRÃO;УСТАНОВИ УПРАВЛЕНИЕ ПО УМОЛЧАНИЮ;デフォルトの そうさに もどす;기본 조작으로 초기화합니다;恢复默认设置;恢復默認設置;
;GORA;UP;HAUT;HOCH;ARRIBA;SU;CIMA;ВВЕРХ;UP;상;上;上;
;GORA JOAN;MOVE UP;MONTER;NACH OBEN BEWEGEN;IR ARRIBA;VAI SU;IR PARA#CIMA;ДВИГАТЬСЯ ВВЕРХ;うえへ すすむ;이동: 상;向上移动;向上移動;
;BEHERA;DOWN;BAS;RUNTER;ABAJO;GIÙ;BAIXO;ВНИЗ;DOWN;하;下;下;
;BEHERA JOAN;MOVE DOWN;DESCENDRE;NACH UNTEN BEWEGEN;IR ABAJO;VAI GIÙ;IR PARA#BAIXO;ДВИГАТЬСЯ ВНИЗ;したへ すすむ;이동: 하;向下移动;向下移動;
;ESKUIN;RIGHT;DROITE;RECHTS;DERECHA;DESTRA;DIR.;ВПРАВО;RIGHT;우;右;右;
;ESKUINERA JOAN;MOVE RIGHT;ALLER À DROITE;NACH RECHTS BEWEGEN;IR A LA DERECHA;VAI A DESTRA;IR PARA#DIREITA;ДВИГАТЬСЯ ВПРАВО;みぎへ すすむ;이동: 우;向右移动;向右移動;
;EZKER;LEFT;GAUCHE;LINKS;IZQUIERDA;SINISTRA;ESQ.;ВЛЕВО;LEFT;좌;左;左;
;EZKERRERA JOAN;MOVE LEFT;ALLER À GAUCHE;NACH LINKS BEWEGEN;IR A LA IZQUIERDA;VAI A SINISTRA;IR PARA#ESQUERDA;ДВИГАТЬСЯ ВЛЕВО;ひだりへ すすむ;이동: 좌;向左移动;向左移動;
;ERABILI;USE;UTILISER;BENUTZEN;USAR;USA;USAR;ИСПОЛЬЗОВАТЬ;USE;사용;使用;使用;
;OBJEKTUA ERABILI/BAIEZTATU;USE ITEM/CONFIRM;UTILISER OBJET/CONFIRMER;GEGENSTAND BENUTZEN/BESTÄTIGEN;USAR OBJETO/CONFIRMAR;USA OGGETTO/CONFERMA;USAR ITEM/#CONFIRMAR;ИСПОЛЬЗОВАТЬ ПРЕДМЕТ/ПОДТВЕРДИТЬ;アイテムをつかう/OK;아이템 사용/확인;使用物品;使用物品;
;BERRIZ SAIATU;RETRY;NOUVELLE VIE;WIEDERHOLEN;REINTENTAR;RIPROVA;REPETIR;ЗАНОВО;RETRY;재시도;重试;重試;
;BERRIZ SAIATU/ATZERA;RETRY/BACK;NOUVELLE VIE/RETOUR;WIEDERHOLEN/ZURÜCK;REINTENTAR/ATRÁS;RIPROVA/INDIETRO;REPETIR/#VOLTAR;ЗАНОВО/НАЗАД;リトライ/もどる;재시도/뒤로;重试/返回;重試/返回;
;JOKOA ETEN;PAUSE;PAUSE;PAUSE;PAUSA;PAUSA;PAUSA;ПАУЗА;PAUSE;일시 정지;暂停;暫停;
;ETETE MENUA;PAUSE MENU;MENU PAUSE;PAUSENMENÜ;MENÚ DE PAUSA;MENU PAUSA;MENU DE PAUSA;МЕНЮ ПАУЗЫ;いちじていし;일시 정지 메뉴;暂停菜单;暫停菜單;
;DEFEKTUZ:;DEFAULT:;PAR DÉFAUT :;VORGABE:;PREDETERMINADO:;PREDEFINITO:;PADRÃO:;ПО УМОЛЧАНИЮ:;しょきせってい：;기본:;默认;默認;
;NUMPAD 0;NUMPAD 0;PAVÉ NUM. 0;ZIFBLK 0;T. NUM. 0;TASTNUM 0;0#(TECLADO#NUMÉRICO);NUMPAD 0;NUMPAD 0;숫자패드 0;数字0键;數字0鍵;
;NUMPAD 1;NUMPAD 1;PAVÉ NUM. 1;ZIFBLK 1;T. NUM. 1;TASTNUM 1;1#(TECLADO#NUMÉRICO);NUMPAD 1;NUMPAD 1;숫자패드 1;数字1键;數字1鍵;
