key,source,target
BossSpare/NodeID_3,Spare,Barkatu
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_2,Know this... Revenge is never a straight line.,Eduki ezazu argi: mendekua ez da inoiz bide erraza izan.
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_22,"It's easy to lose your way, to be blinded by rage.","Erraza da bidean galtzea, haserreak itsutzea."
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_25,"When I look into your eyes, I see nothing but a frightened, angry child.","Begiratzen zaitudanean, beldurtuta eta haserretuta dagoen haur bat bakarrik ikusten dut."
Cutscene_H1_360_Fajar_P1toP2/NodeID_5,Show yourself!,Ager zaitez!
Cutscene_H1_360_Fajar_P1toP2/NodeID_7,"Show yourself, Fajar.","Irten, Fajar."
Cutscene_H1_360_Fajar_P1toP2/NodeID_6,"I'll make you pay.",Ordainduko duzu horregatik.
Cutscene_H1_360_Fajar_P1toP2/NodeID_8,I’ll make you pay for what you did to me.,Egin zenidanagatik ordainduko duzu.
H0_010_EntranceTraining_A/NodeID_2,What was that!?,Zer izan da hori?
H0_010_EntranceTraining_C/NodeID_2,What’s going on? Who are you?,Zer gertatzen da? Nor zara zu?
H0_010_EntranceTraining_C/NodeID_22,Move.,Kendu
H0_010_EntranceTraining_C/NodeID_35,Get out of my way.,Kendu erditik.
H0_010_EntranceTraining_C/NodeID_23,"Who's first?",Nor da lehenengoa?
H0_010_EntranceTraining_C/NodeID_33,Who wants to go first?,Nork izan nahi du lehenengoa?
H0_010_EntranceTraining_C/NodeID_28,Leave him to me.,Utzidazue niri.
H0_010_EntryGuard_C/NodeID_2,What the--?!,"Baina zer--?"
H0_020_SeanEntrance_A/NodeID_6,I thought you said they’d put up a fight.,Borrokarako prest zegoela uste nuen.
H0_020_SeanEntrance_A/NodeID_2,I’m barely breaking a sweat.,Izerditu ere ez naiz egingo.
H0_020_SeanEntrance_A/NodeID_9,"Don't be arrogant.",Ez izan harroa.
H0_020_SeanEntrance_A/NodeID_11,Don’t be so arrogant.,Ez izan hain harroa.
H0_020_SeanEntrance_A/NodeID_10,Sweep the place.,Arakatu lekua.
H0_020_SeanEntrance_A/NodeID_12,Sweep the place. Nobody leaves.,Arakatu lekua. Ez dezala inork alde egin.
