key,source,target
/ArchetypeVersion_Advanced,Advanced,Aurreratua
/ArchetypeVersion_Base,Base,Oinarrizkoa
/BossVersion_BurstPhase,Burst Phase,Eztanda fasea
/ArchetypeVersion_MiniBoss,Mini Boss,Mini Nagusia
/BossVersion_Phase1,Phase 1,1. fasea
/BossVersion_Phase2,Phase 2,2. fasea
Arena_Hangar_HP/Parking.advert,Advertising Area,Publizitate area
Arena_Hangar_HP/Exposition.Atrium,Atrium,Ataria
Arena_Hangar_HP/DanceFloor.BackRoom,Backroom ,Atzeko gela 
Arena_Hangar_HP/DanceFloor.BackStage,Backstage,Agertoki atzea
Arena_Hangar_HP/Kitchen.RightBar,Bar counter,Barra
Arena_Hangar_HP/Kitchen.Bay,Bay Window,Badiarako leihoa
Arena_Hangar_HP/Parking.BikeCage,Bike Cage,Bizikleta kaiola
Arena_Hangar_HP/Parking.TopBikeCage,Bike Cage Roof ,Bizikleta kaiolaren sabaia
Arena_Hangar_HP/DanceFloor.BLounge,Blue Lounge,Sala urdina
Arena_Hangar_HP/DanceFloor.BStage,Blue Stage,Agertoki urdina
Arena_Hangar_HP/Kitchen.UndergroundLeftStairs,Bonsai Hallway,Bonsaien korridorea
Arena_Hangar_HP/Hangar.BreakRoom,Break room,Atseden gela
Arena_Hangar_HP/Parking.CarCircle,Car Ring,Autoen eraztuna
Arena_Hangar_HP/Hangar.PlatformRightSide,Cargo lift,Karga igogailua
Arena_Hangar_HP/Parking.CarWash,Carwash Station,Auto-garbiketa
Arena_Hangar_HP/Kitchen.UndergroundCleaningRoom,Cleaning Room,Garbiketa gela
Arena_Hangar_HP/DanceFloor.CocktailBar,Cocktail Bar,Koktel taberna
Arena_Hangar_HP/DanceFloor.ControlRoom,Control Room ,Kontrol gela 
Arena_Hangar_HP/Hangar.ControlRoom,Control room,Kontrol gela
Arena_Hangar_HP/Hangar.Platform,Crane platform,Garabi plataforma
Arena_Hangar_HP/DanceFloor.CrossWalk,Crosswalk,Zebrabidea
Arena_Hangar_HP/DanceFloor.DJBooth,DJ Booth,DJ kabina
Arena_Hangar_HP/DanceFloor.GoldBar,Dragon Bar,Dragoi taberna
Arena_Hangar_HP/Kitchen.Entrance,Entrance,Sarrera
Arena_Hangar_HP/Exposition.Entry,Entry hall,Sarrerako aretoa
Arena_Hangar_HP/Parking.Escalator,Escalator,Eskailera mekanikoa
Arena_Hangar_HP/Exposition.Field,Field,Zelaia
Arena_Hangar_HP/Kitchen.UpperRestaurantLeft,Flowery Dinner Room,Jangela loratua
Arena_Hangar_HP/Kitchen.LeftLounge,Flowery Lounge,Sala loratua
Arena_Hangar_HP/Hangar.BlackCars,"Gang's departure area",Bandaren irteera eremua
Arena_Hangar_HP/Hangar.Garage,Garage,Garajea
Arena_Hangar_HP/Exposition.GazingOrbs,Gazing Orbs,Begiratzeko Esferak
Arena_Hangar_HP/DanceFloor.GLounge,Green Lounge,Sala berdea
Arena_Hangar_HP/DanceFloor.GStage,Green Stage,Agertoki berdea
Arena_Hangar_HP/Exposition.Dribble,Inflatable,Puzgarria
Arena_Hangar_HP/Kitchen.StairsToUnderground,Kitchen Stairs,Sukaldeko eskailerak
Arena_Hangar_HP/Hangar.LoadingBay,Loading bay,Zamatzeko tokia
Arena_Hangar_HP/Hangar.PlatformLeftSide,Loading zone,Zamatzeko eremua
Arena_Hangar_HP/Exposition.Mezzanine,Lobby,Atondoa
Arena_Hangar_HP/Parking.LobbyDown,Lobby : Floor -1,Atondoa: -1 solairua
Arena_Hangar_HP/Parking.LobbyUp,Lobby : Floor 0,Atondoa: 0 solairua
Arena_Hangar_HP/Exposition.MainGallery,Main Gallery,Galeria nagusia
Arena_Hangar_HP/DanceFloor.MainStage,Main Stage,Agertoki nagusia
Arena_Hangar_HP/Parking.MallDown,Mall : Floor -1,Merkataritza-gunea: -1 solairua
Arena_Hangar_HP/Parking.MallUp,Mall : Floor 0,Merkataritza-gunea: 0 solairua
Arena_Hangar_HP/Exposition.Lobby,Marbles,Kanikak
Arena_Hangar_HP/Exposition.Wave,Mexican Wave ,Mexikar Olatua 
Arena_Hangar_HP/Exposition.ThematicGallery,Mezzanine ,Solairuartea 
Arena_Hangar_HP/Hangar.MoneyRoom,Money room,Diru gela
Arena_Hangar_HP/Parking.MotorBike,Motorbike Parking,Motoen aparkalekua
Arena_Hangar_HP/Exposition.Goal,Nets,Sareak
Arena_Hangar_HP/Hangar.OffLoadingArea,Off-loading area,Deskarga eremua
Arena_Hangar_HP/Kitchen.OpenedKitchen,Opened Kitchen,Irekitako sukaldea
Arena_Hangar_HP/Hangar.OpenedTrucks,Opened trucks,Irekitako kamioiak
Arena_Hangar_HP/Parking.Entrance,Parking Entrance,Aparkalekuko sarrera
Arena_Hangar_HP/DanceFloor.Pit,Pit,Zuloa
Arena_Hangar_HP/DanceFloor.PrivateStage,Private Stage,Agertoki pribatua
Arena_Hangar_HP/Kitchen.LeftCounter,Reception,Harrera
Arena_Hangar_HP/Parking.Reception,Reception,Harrera
Arena_Hangar_HP/Kitchen.MainRoom,Restaurant Room,Jatetxeko gela
Arena_Hangar_HP/Kitchen.UpperRestaurant,Rocky Dinner Room,Jantoki harritsua
Arena_Hangar_HP/Kitchen.UndergroundRightStairs,Rocky Hallway,Korridore harritsua
Arena_Hangar_HP/Kitchen.RightLounge,Rocky Lounge,Egonglea harritsua
Arena_Hangar_HP/Parking.Repair,Rugged Road,Bide malkartsua
Arena_Hangar_HP/Hangar.RoofOfTheLoadingBay,Rusty roof,Teilatu herdoildua
Arena_Hangar_HP/Parking.SideWalk,Sidewalk,Espaloia
Arena_Hangar_HP/DanceFloor.Sofas,Sofas,Sofak
Arena_Hangar_HP/Exposition.Souvenir,Souvenir store,Oroigarrien denda
Arena_Hangar_HP/DanceFloor.SquareStage,Square Stage,Agertoki karratua
Arena_Hangar_HP/Parking.Squat,Squats,Okupa eremua
Arena_Hangar_HP/Kitchen.UndergroundComputer,Staff Room,Langileen gela
Arena_Hangar_HP/DanceFloor.StairCase,Staircase,Eskailerak
Arena_Hangar_HP/Hangar.SuspendedWalkway,Suspended walkway,Eskegitako pasabidea
Arena_Hangar_HP/Exposition.Tackle,Tackle,Sarrera
Arena_Hangar_HP/Kitchen.LittleRoomTop,Tea Rooms,Te gelak
Arena_Hangar_HP/DanceFloor.Toilets,Toilets,Komunak
Arena_Hangar_HP/Exposition.Telstar,Total Equilibrium ,Erabateko oreka 
Arena_Hangar_HP/Kitchen.TreeRoom,Tree Room,Zuhaitz gela
Arena_Hangar_HP/DanceFloor.VIPBar,V.I.P. Bar,V.I.P. Taberna
Arena_Hangar_HP/Parking.reserved,V.I.P. parking spots,V.I.P. aparkalekuak
Arena_Hangar_HP/Hangar.VentilationSystems,Ventilation systems,Aireztatze sistemak
Arena_Hangar_HP/Kitchen.DishesCorner,Washing Dishes Corner,Ontziak garbitzeko txokoa
Arena_Hangar_HP/Kitchen.Cave,Wine Cellar,Ardoen sotoa
Arena_Hangar_HP/Parking.Crash,Wrecked Car,Xehetutako autoa
Arenas_title_description/Rain.CHAL03.Title,A Grand Master,Nagusi Handia
Arenas_title_description/Rain.CHAL07.Desc,A group of students from a rival school are roaming the streets. Impart your teachings upon them.,Eskola aurkari bateko ikasleak kaleetan harat-honat dabiltza. Erakutsiezu ikasi duzuna.
Arenas_title_description/RoofTop.CHAL01.Title,Above Skyscrapers,Etxeorratzen gainetik
Arenas_title_description/RoofTop.CHAL01.Desc,Accidents happen so fast. Think about it.,Istripuak oso azkar gertatzen dira. Pentsa ezazu.
Arenas_title_description/Stairs.CHAL08.Desc,"Advanced age benefits wisdom, and also bestows a wealth of experience in efficiency.","Adinean gora egiteak jakituria ematen dizu, eta izugarri eraginkor egiten zaitu."
Arenas_title_description/RoofTop.CHAL05.Title,Aerial Fighting Club,Aire-borrokaren Kluba
Arenas_title_description/DanceFloor.CHAL06.Title,Afterlife Party,After festa
Arenas_title_description/RedRoom.CHAL07.Title,Alternative ending,Bukaera alternatiboa
Arenas_title_description/SnowGarden.CHAL05.Desc,"Amidst the blizzard's concealment, you face a solitary target, but watch out for lurking threats.","Ezkutatu ahal izateko haizetea aprobetxatuta, etsai bakarti bati aurre egiten diozu, baina kontuz ezkutuko mehatxuekin."
Arenas_title_description/Park.CHAL05.Title,An Inch From Death,Heriotzetik hurbil
Arenas_title_description/RoofTop.CHAL07.Desc,"An ideal spot, with a killer view, to bring the entire city to its knees in one fell swoop.","Bista zoragarriak dituen leku ederra, kolpe bakarrean hiri guztia belauniko jartzeko modukoa."
Arenas_title_description/Exposition.CHAL04.Title,Artistic Detour,Bisita artistikoa
Arenas_title_description/Parking.CHAL01.Desc,"As a security agent, expel the trespassers from the parking.","Segurtasun agente moduan, baimenik gabe parkinean sartu direnak botako dituzu."
Arenas_title_description/SnowGarden.CHAL04.Desc,"As the cold empowers your fists, seize the perfect opportunity to take down a horde of adversaries.","Ukabil izoztuak dituzunez, aprobetxatu egoera aurkari horda bat pikutara bidaltzeko."
Arenas_title_description/Corridor.CHAL03.Desc,Assess your strength against all kinds of fighters.,Frogatu zure indarra mota askotariko borrokalarien aurka.
Arenas_title_description/Park.CHAL08.Desc,Attain enlightenment by siphoning the life force of your opponents.,Ailegatu zaitez argitasun egoera batera zure arerioen bizi-indarra xurgatuz.
Arenas_title_description/DanceFloor.CHAL08.Title,Baba Yaga,Hamalau-zango
Arenas_title_description/Wuguan.CHAL01.Desc,"Back to school, demonstrate the skills you have acquired.","Eskolara itzuli zara, erakutsi ikasi dituzun abileziak."
Arenas_title_description/SnowGarden.CHAL07.Title,Baneful Tempest,Zoritxarreko Erauntsia
Arenas_title_description/Park.CHAL07.Desc,Be swift like the wind. Effortlessly sweep away your enemies.,Izan haizea bezain azkarra. Deuseztatu zure etsaiak ahaleginik egin gabe.
Arenas_title_description/RoofTop.CHAL06.Title,"Beast's Shadows",Piztiek itzalak
Arenas_title_description/Hangar.CHAL08.Desc,"Before reaching Fajar, you have to get through his crew.",Fajar-engana ailegatu baino lehen, bere taldea desegin beharko duzu.
Arenas_title_description/Park.CHAL07.Title,Bellowing Mountains,Mendien Garrasia
Arenas_title_description/Hangar.CHAL07.Title,Beyond the Brink,Amildegitik Haratago
