key,source,target
BARKS_Subtitles/AttackNotWorking_Yang_YangAllPhase_03,Estás perdiendo el tiempo.,Denbora galtzen ari zara.
BARKS_Subtitles/Spare_Fengjie_FengjieAllPhase_02,Una oportunidad desaprovechada.,Galdutako aukera bat.
BARKS_Subtitles/FullLife_Fajar_FajarP1Only_01,(Rugido furioso),
BARKS_Subtitles/FullLife_Fajar_FajarP2Only_01,(Rugido con furia),
BARKS_Subtitles/MCRez_NotFirst_Bodyguard_HideoutAll_04,¿Otra vez?,Berriro?
BARKS_Subtitles/MCRez_NotFirst_Flashkick_HideoutAll_03,¿Otra vez?,Berriro?
BARKS_Subtitles/MCRez_NotFirst_Sean_SeanAllPhase_01,¿Otra vez?,Berriro?
BARKS_Subtitles/Alerted_MCThreatening_Grunt_HideoutAllBut5_05,Muy bien entonces...,Ederki orduan...
BARKS_Subtitles/Alerted_MCThreatening_KungFuStudent_Hideout0_03,Como quieras...,Nahi duzun bezala...
BARKS_Subtitles/Alerted_MCThreatening_Grunt_HideoutAllBut5_03,"Está bien, vamos.","Ongi da, goazen."
BARKS_Subtitles/MCRez_NotFirst_FireDisciple_HideoutAll_04,Muy bien. Esa es la última.,Oso ongi. Hau da azkena.
BARKS_Subtitles/MCDominated_Grunt_HideoutAll_05,¿Ahora lo lamentas?,Orain damutzen zara?
BARKS_Subtitles/MCDominated_Flashkick_HideoutAll_02,¿Esos son tus mejores golpes?,Horiek dira zure kolperik onenak?
BARKS_Subtitles/FullLife_Kuroki_KurokiP1Only_03,¿Estamos luchando o bailando?,Borrokan edo dantzan ari gara?
BARKS_Subtitles/Sanctuary_FireDisciple_HideoutAll_02,¿Te doy miedo?,Beldurra ematen dizut?
BARKS_Subtitles/Alerted_GenericIntruder_FireDisciple_Hideout2_03,"¿Eres lo bastante {ListenerGender}|gender(rápido,rápida)?",Nahikoa azkarra al zara?
BARKS_Subtitles/FullLife_Kuroki_KurokiP2Only_02,"¿Eres lo bastante {ListenerGender}|gender(rápido,rápida)?",Nahikoa azkarra al zara?
BARKS_Subtitles/Spare_Sean_SeanAllPhase_02,¿Estás de coña?,Txantxetan ari zara?
BARKS_Subtitles/MCDominated_Flashkick_HideoutAll_03,"¿Estás {ListenerGender}|gender(nervioso,nerviosa)?",Urduri al zaude?
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_HideoutAll_01,"¿Estás {ListenerGender}|gender(listo,lista)?",Prest zaude?
BARKS_Subtitles/ReactionTakedown_Flashkick_HideoutAll_03,¡Argh!,Argh!
BARKS_Subtitles/Alerted_MCClose_Flashkick_HideoutAll_03,"Argh, ¡mierda!","Argh! kaka!"
BARKS_Subtitles/MCRez_NotFirst_Sean_SeanP2Only_01,Tan persistente como nuestros viejos maestros.,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout4_04,"Al fin..., ¡un poco de acción!",
BARKS_Subtitles/MCDominating_Bodyguard_HideoutAll_02,"Al fin {ListenerGender}|gender(un,una) oponente {ListenerGender}|gender(duro,dura).",
BARKS_Subtitles/Alerted_MCThreatening_BigGuy_HideoutAllBut5_02,"Aléjate, {ListenerGender}|gender(chiflado,chiflada).",
BARKS_Subtitles/Alerted_MCThreatening_Grunt_HideoutAllBut5_04,¡Aléjate de una puta vez!,
BARKS_Subtitles/Alerted_MCAttacking_Bodyguard_HideoutAllBut5_03,Mala idea.,
BARKS_Subtitles/Alerted_MCThreatening_Grunt_Hideout5_01,"Cuidado, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/MCPickWeapon_Grunt_HideoutAll_04,"¡Cuidado, va {ListenerGender}|gender(armado,armada)!",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout5_06,Será un placer.,
BARKS_Subtitles/Alerted_MCThreatening_Grunt_Hideout5_02,Será un placer.,
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_01,"Has venido al lugar equivocado, colega.",
BARKS_Subtitles/FullLife_Kuroki_KurokiP2Only_01,¿Puedes mantener el ritmo?,
BARKS_Subtitles/MCRez_NotFirst_Bodyguard_HideoutAll_01,No puede ser verdad...,
BARKS_Subtitles/MCRez_NotFirst_FireDisciple_HideoutAll_02,No puede ser verdad...,
BARKS_Subtitles/MCRez_NotFirst_Flashkick_HideoutAll_05,No puede ser verdad...,
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout2_07,¿Es que no ves que no hay sitio para ti aquí?,
BARKS_Subtitles/MCRez_First_Kuroki_KurokiP2Only_01,"Claramente no eres lo bastante {ListenerGender}|gender(rápido,rápida).",
BARKS_Subtitles/LastMan_Grunt_HideoutAll_05,¡Ven! ,
BARKS_Subtitles/LastMan_Grunt_HideoutAll_02,¡Ven a por mí!,
BARKS_Subtitles/Sanctuary_Grunt_HideoutAll_02,¡Ven a por mí!,
