key,source,target
BossSpare/NodeID_3,Perdonar,Barkatu
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_2,Tenlo claro: la venganza nunca fue un camino de rosas.,Eduki ezazu argi: mendekua ez da inoiz bide erraza izan.
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_22,"Es fácil dejarse llevar, que te ciegue la ira.","Erraza da bidean galtzea, haserreak itsutzea."
Cutscene_H0_Boss_Sifu_P1toP2/NodeID_25,"Cuando te miro, no veo más que a {ListenerGender}|gender(un niño asustado y enfadado,una niña asustada y enfadada).","Begiratzen zaitudanean, beldurtuta eta haserretuta dagoen haur bat bakarrik ikusten dut."
Cutscene_H1_360_Fajar_P1toP2/NodeID_5,¡Muéstrate!,Ager zaitez!
Cutscene_H1_360_Fajar_P1toP2/NodeID_7,"Sal, Fajar.","Irten, Fajar."
Cutscene_H1_360_Fajar_P1toP2/NodeID_6,Pagarás por eso.,Ordainduko duzu horregatik.
Cutscene_H1_360_Fajar_P1toP2/NodeID_8,Me las pagarás por lo que me hiciste.,Egin zenidanagatik ordainduko duzu.
H0_010_EntranceTraining_A/NodeID_2,¿Qué ha sido eso?,Zer izan da hori?
H0_010_EntranceTraining_C/NodeID_2,¿Qué pasa? ¿Quién eres tú?,Zer gertatzen da? Nor zara zu?
H0_010_EntranceTraining_C/NodeID_22,Aparta,Kendu
H0_010_EntranceTraining_C/NodeID_35,Quita de en medio.,Kendu erditik.
H0_010_EntranceTraining_C/NodeID_23,¿Quién va primero?,Nor da lehenengoa?
H0_010_EntranceTraining_C/NodeID_33,¿Quién quiere ir primero?,Nork izan nahi du lehenengoa?
H0_010_EntranceTraining_C/NodeID_28,Dejádmelo a mí.,Utzidazue niri.
H0_010_EntryGuard_C/NodeID_2,"Pero, ¿qué?","Baina, zer?"
H0_020_SeanEntrance_A/NodeID_6,¿No decíais que aguantaría un asalto?,
H0_020_SeanEntrance_A/NodeID_2,Apenas conseguirá hacerme sudar.,
H0_020_SeanEntrance_A/NodeID_9,No seas arrogante,
H0_020_SeanEntrance_A/NodeID_11,No seas tan arrogante.,
H0_020_SeanEntrance_A/NodeID_10,Peinad la zona,
H0_020_SeanEntrance_A/NodeID_12,"Peinad la zona, que nadie salga de aquí.",
H0_020_SeanEntrance_A/NodeID_13,Por supuesto.,
H0_027_Kitchen_C/NodeID_5,¿Quién cojones es?,
H0_027_Kitchen_C/NodeID_2,¡Atrapadlo!,
H0_030_LivingRoom_C/NodeID_3,¡Yang!,
H0_030_LivingRoom_C/NodeID_18,¿Cómo te atreves a volver a poner un pie aquí?,
H0_030_LivingRoom_C/NodeID_19,Nunca deberías haber vuelto.,
H0_030_LivingRoom_C/NodeID_5,Ha pasado mucho tiempo,
H0_030_LivingRoom_C/NodeID_24,"Me alegro de verte, ha pasado tiempo.",
H0_030_LivingRoom_C/NodeID_7,Id a por él.,
H0_030_LivingRoom_C/NodeID_6,Terminar lo que empecé,
H0_030_LivingRoom_C/NodeID_17,Estoy aquí para terminar lo que empecé.,
H0_030_LivingRoom_C/NodeID_25,¡A por él!,
H0_040_Fajar_C/NodeID_4,¡!,
H0_040_Fajar_C/NodeID_10,¿Dónde está?,
H0_050_Sifu_P1toP2/NodeID_25,"Cuando te miro, no veo más que a {ListenerGender}|gender(un niño asustado y enfadado,una niña asustada y enfadada).",
H1_000_Guardian_A/NodeID_2,¡Largo! ¡Aquí no se te ha perdido nada!,
H1_000_Guardian_C/NodeID_3,"¡Te lo advertí, imbécil!",
H1_000_Guardian_MC/NodeID_7,¡!,
H1_000_Guardian_MC/NodeID_8,Han bloqueado la entrada al <DialogHighlight>almacén</>.,
H1_000_Guardian_MC/NodeID_10,Tengo que encontrar otra manera de colarme.,
H1_030_DoorToShortcut_MC/NodeID_2,Cerrado. Probemos arriba primero.,
H1_030_Jump_MC/NodeID_4,¡!,
H1_030_Jump_MC/NodeID_2,"Puedo hacerlo, solo necesito coger carrerilla.",
H1_030_Squat_C/NodeID_2,¿Te has perdido?,
H1_030_Squat_C/NodeID_3,Está claro que este no es tu sitio.,
H1_030_Squat_MC/NodeID_5,¡!,
H1_030_Squat_MC/NodeID_2,<DialogHighlight>Yonkis</>. No creo que sean un problema.,
H1_090_Oldboy_A/NodeID_2,¡Abrid! ¡Eh!,
H1_090_Oldboy_A/NodeID_3,¡No me hagáis tirar abajo esta puta puerta!,
H1_090_Oldboy_C/NodeID_3,"A ver qué quiere {ListenerGender}|gender(ese payaso,esa payasa).",
H1_090_Oldboy_C/NodeID_7,¿Necesitas ayuda con algo?,
H1_090_Oldboy_C/NodeID_10,El almacén,
H1_090_Oldboy_C/NodeID_19,"El almacén, ¿por dónde se va?",
H1_090_Oldboy_C/NodeID_28,¿Qué hostias quieres?,
H1_090_Oldboy_C/NodeID_34,¿Tienes idea de dónde estás?,
H1_090_Oldboy_C/NodeID_29,Estoy buscando a <DialogHighlight>Fajar</>.,
H1_090_Oldboy_C/NodeID_30,"Nadie quiere ver a los tarados, y los tarados no quieren ver a nadie.",
H1_090_Oldboy_C/NodeID_31,Y ahora vacíate los bolsillos.,
H1_090_Oldboy_C/NodeID_14,Aparta,
H1_090_Oldboy_C/NodeID_25,"Sí, largo de aquí.",
H1_090_Oldboy_C/NodeID_32,"Parece que tenemos a {ListenerGender}|gender(un listillo,una listilla) aquí.",
H1_090_Oldboy_C/NodeID_15,Déjalos,
H1_090_Oldboy_C/NodeID_27,Dejad en paz a esta gente.,
H1_090_Oldboy_C/NodeID_18,"Vaya, si tenemos aquí a {ListenerGender}|gender(un defensor,una defensora) de los oprimidos.",
H1_090_Oldboy_C/NodeID_33,Vamos a aligerarle la pesada carga que guarda en los bolsillos.,
H1_150_Rooftop_A/NodeID_2,Ya casi hemos terminado... El último paquete va en camino...,
H1_150_Rooftop_A/NodeID_4,Bien... Hablaremos cuando terminemos aquí.,
H1_150_Rooftop_A/NodeID_6,¡Ese puto imbécil me llama cada dos segundos para comprobar qué hacemos!,
H1_150_Rooftop_A/NodeID_7,"Y mientras él ahí, con su culo gordo pegado al sillón.",
H1_150_Rooftop_A/NodeID_8,¡Me pone de los nervios!,
H1_150_Rooftop_C/NodeID_2,¡Tíos! ¡Tenemos compañía!,
H1_150_Rooftop_MC/NodeID_5,¡!,
H1_150_Rooftop_MC/NodeID_2,<DialogHighlight>El almacén.</> Me estoy acercando.,
H1_180_Jump_MC/NodeID_4,¡!,
H1_180_Jump_MC/NodeID_2,Otro salto... Puedo hacerlo.,
H1_210_BigGuy_C/NodeID_2,Una pena que tenga que lanzarte de vuelta.,
H1_270_DoorToHangar_MC/NodeID_2,Alguien tendrá <DialogHighlight>las llaves</>.,Norbaitek izango ditu <DialogHighlight>giltzak</>.
H1_270_Office_A/NodeID_2,"¡Venga, venga! ¡Daos prisa!","Tira, tira! Mugi zaitezte!"
H1_270_Office_A/NodeID_3,No quiero llegar tarde al <DialogHighlight>club</>.,Ez dut <DialogHighlight>klub</>era berandu iritsi nahi.
H1_270_Office_A/NodeID_7,Esta noche me llevaré el premio gordo.,Gaur sari handia niretzat.
H1_270_Office_C/NodeID_3,¿Quién hostias eres tú?,Nor hostia zara zu?
H1_270_Office_C/NodeID_4,"¡No os quedéis ahí! ¡Id a por {ListenerGender}|gender(él,ella)!",Ez zaitezte hor gelditu! Harrapa ezazue!
H1_270_Skull_C/NodeID_2,¿Cómo demonios has entrado aquí?,Nola demontre sartu zara hemen?
H1_270_Skull_C/NodeID_65,No ha sido fácil.,Ez da erraza izan.
H1_270_Skull_C/NodeID_66,Y seguro que tienes <DialogHighlight>unas llaves</> que me lo podrían haber puesto más sencillo.,Ziur nago bidea errazagoa egingo zidaten <DialogHighlight>giltza</> batzuk izango dituzula.
H1_270_Skull_C/NodeID_67,"Ni se te ocurra, gilipollas.","Ezta pentsatu ere, astozakila."
H1_270_Skull_C/NodeID_68,Este pequeño paseo que te has dado llega a su fin.,Eman duzun bueltaxka hemen bukatuko da.
H1_270_Skull_C/NodeID_10,Entrenamiento,Entrenamendua
H1_270_Skull_C/NodeID_48,Solo vengo aquí por el entrenamiento.,Entrenamenduagatik bakarrik nator hona.
H1_270_Skull_C/NodeID_19,Dirección errónea,Norabide okerra
H1_270_Skull_C/NodeID_49,Me he equivocado de camino.,Bidez nahasi naiz.
H1_270_Skull_C/NodeID_50,No tenemos elección.,Ez dugu aukerarik
H1_270_Skull_C/NodeID_52,Vamos a tener que darte una paliza.,Jipoi bat eman beharko dizugu.
H1_270_Skull_MC/NodeID_2,Esto servirá.,Honek balioko du.
H1_300_Hangar_A/NodeID_2,"¡Vamos, más rápido!","Tira, azkarrago!"
H1_300_Hangar_A/NodeID_25,¡Tenemos una ciudad a la que suministrar!,
H1_300_Hangar_A/NodeID_23,¡El jefe quiere que se envíe todo hoy!,
H1_300_Hangar_A/NodeID_24,"¡Moveos, moveos!",
H1_300_Hangar_C/NodeID_2,"¡Eh, esto es propiedad privada!",
H1_300_Hangar_C/NodeID_4,"¿Eres {ListenerGender}|gender(sordo,sorda) o qué, imbécil?",
H1_300_Hangar_Eavesdrop_A/NodeID_2,¿Seguro que sabes lo que haces? ¿Kungfú?,
H1_300_Hangar_Eavesdrop_A/NodeID_5,"De verdad, me sorprende lo mucho que has durado en este puto trabajo.",
H1_300_Hangar_MC/NodeID_5,¡!,
H1_300_Hangar_MC/NodeID_2,Ya casi lo consigo. Tengo que cruzar esa puerta.,
H1_300_Hangar_NpcPushedFromFirstFloor_A/NodeID_2,¡Dispersaos y que no escape!,
H1_300_Hangar_NpcPushedFromFirstFloor_A/NodeID_3,¡Y que alguien limpie este desastre!,
H1_330_DryingRoom_C/NodeID_2,El jefe ha dicho que no puede pasar nadie. <DialogHighlight>Fajar</> debe estar solo.,
H1_330_DryingRoom_C/NodeID_7,Me espera,
H1_330_DryingRoom_C/NodeID_15,Me está esperando.,
H1_330_DryingRoom_C/NodeID_13,No lo creo. Solo lo visita el tío del pelo largo.,
H1_330_DryingRoom_C/NodeID_14,"Mira, no sé cuándo fue la última vez que viste a Fajar, pero se le ha ido la puta olla.",
H1_330_DryingRoom_C/NodeID_24,No puedes entrar. Hoy no. Ni nunca.,
H1_330_DryingRoom_C/NodeID_8,Me da igual,
H1_330_DryingRoom_C/NodeID_21,Me da igual lo que haya dicho tu jefe.,
H1_330_DryingRoom_C/NodeID_26,Voy a cruzar esa puerta.,
H1_330_DryingRoom_C/NodeID_22,"Sí, ya.",
H1_330_DryingRoom_C/NodeID_9,Apártate.,
H1_330_DryingRoom_C/NodeID_23,Apártate. No quiero tener que hacerte daño.,
H1_330_DryingRoom_C/NodeID_11,Estás de coña.,
H1_360_Greenhouse_MC/NodeID_2,Cerrado.,
H2_010_EntranceBouncer_C/NodeID_24,Es una fiesta privada. Vuelve mañana.,
H2_010_EntranceBouncer_C2/NodeID_2,¡Piérdete ya!,
H2_010_StreetGuy_A/NodeID_2,"Olvídalo, si no estás en la lista, no entras.",
H2_020_GuardTickets_C/NodeID_22,Ya... ¿Qué quieres?,
H2_020_GuardTickets_C/NodeID_25,¿Sean?,
H2_020_GuardTickets_C/NodeID_34,"<DialogHighlight>Sean</>, ¿dónde puedo encontrarlo?",
H2_020_GuardTickets_C/NodeID_28,¡Chicos! ¡Tenemos un problema!,
H2_020_GuardTickets_C/NodeID_30,No te incumbe,
H2_020_GuardTickets_C/NodeID_35,Eso no te incumbe.,
