key,source,target
/ArchetypeVersion_Advanced,Avanzada,
/ArchetypeVersion_Base,Básica,
/BossVersion_BurstPhase,Fase explosiva,
/ArchetypeVersion_MiniBoss,Minijefe,
/BossVersion_Phase1,Fase 1,
/BossVersion_Phase2,Fase 2,
Arena_Hangar_HP/Parking.advert,Zona de publicidad,
Arena_Hangar_HP/Exposition.Atrium,Patio,
Arena_Hangar_HP/DanceFloor.BackRoom,Sala trasera ,
Arena_Hangar_HP/Kitchen.RightBar,Barra,
Arena_Hangar_HP/Kitchen.Bay,Ventana mirador,
Arena_Hangar_HP/Parking.BikeCage,Jaula de bicis,
Arena_Hangar_HP/Parking.TopBikeCage,Techo de la jaula de bicis ,
Arena_Hangar_HP/DanceFloor.BLounge,Sala azul,
Arena_Hangar_HP/DanceFloor.BStage,Escenario azul,
Arena_Hangar_HP/Kitchen.UndergroundLeftStairs,Pasillo de los bonsáis,
Arena_Hangar_HP/Hangar.BreakRoom,Sala de descanso,
Arena_Hangar_HP/Parking.CarCircle,Círculo de coches,
Arena_Hangar_HP/Hangar.PlatformRightSide,Elevador de carga,
Arena_Hangar_HP/Parking.CarWash,Estación de lavado,
Arena_Hangar_HP/Kitchen.UndergroundCleaningRoom,Sala de limpieza,
Arena_Hangar_HP/DanceFloor.CocktailBar,Bar de copas,
Arena_Hangar_HP/DanceFloor.ControlRoom,Sala de control ,
Arena_Hangar_HP/Hangar.ControlRoom,Sala de control,
Arena_Hangar_HP/Hangar.Platform,Plataforma de la grúa,
Arena_Hangar_HP/DanceFloor.CrossWalk,Paso de cebra,
Arena_Hangar_HP/DanceFloor.DJBooth,Cabina de DJ,
Arena_Hangar_HP/DanceFloor.GoldBar,Bar Dragón,
Arena_Hangar_HP/Kitchen.Entrance,Entrada,
Arena_Hangar_HP/Exposition.Entry,Vestíbulo,
Arena_Hangar_HP/Parking.Escalator,Escalera mecánica,
Arena_Hangar_HP/Kitchen.UpperRestaurantLeft,Comedor florido,
Arena_Hangar_HP/Kitchen.LeftLounge,Salón florido,
Arena_Hangar_HP/Hangar.BlackCars,Zona de salida de la banda,
Arena_Hangar_HP/Hangar.Garage,Garaje,
Arena_Hangar_HP/DanceFloor.GLounge,Sala verde,
Arena_Hangar_HP/DanceFloor.GStage,Escenario verde,
Arena_Hangar_HP/Kitchen.StairsToUnderground,Escaleras de la cocina,
Arena_Hangar_HP/Hangar.LoadingBay,Muelle de carga,
Arena_Hangar_HP/Hangar.PlatformLeftSide,Zona de carga,
Arena_Hangar_HP/Exposition.Mezzanine,Recibidor,
Arena_Hangar_HP/Parking.LobbyDown,Recibidor: Planta -1,
Arena_Hangar_HP/Parking.LobbyUp,Recibidor: Planta 0,
Arena_Hangar_HP/Exposition.MainGallery,Galería principal,
Arena_Hangar_HP/DanceFloor.MainStage,Foso,
Arena_Hangar_HP/Parking.MallDown,Centro comercial: Planta -1,
Arena_Hangar_HP/Parking.MallUp,Centro comercial: Planta 0,
Arena_Hangar_HP/Exposition.ThematicGallery,Entrepiso ,
Arena_Hangar_HP/Hangar.MoneyRoom,Sala del dinero,
Arena_Hangar_HP/Parking.MotorBike,Aparcamiento de motos,
Arena_Hangar_HP/Hangar.OffLoadingArea,Zona de descarga,
Arena_Hangar_HP/Kitchen.OpenedKitchen,Cocina abierta,
Arena_Hangar_HP/Hangar.OpenedTrucks,Camiones abiertos,
Arena_Hangar_HP/Parking.Entrance,Entrada del aparcamiento,
Arena_Hangar_HP/DanceFloor.Pit,Foso,
Arena_Hangar_HP/DanceFloor.PrivateStage,Escenario privado,
