key,source,target
C01_Strings_SB/0102_Intro_1,{300}É{100}RASE UNA VEZ #UN #{125}ESCUDERO VALIENTE #{100}LLAMADO {175}JOTA.,
C01_Strings_SB/0304_Cracking,{75}¡CHACHI!,
C01_Strings_SB/0304_DefendedTheLand,"JOTA DEFENDÍA SU TIERRA #DEL MALVADO BRUJO #{150}GRUÑONZÓN,",
C01_Strings_SB/0304_EveryoneAppreciated,Y TODO EL MUNDO #LE ESTABA AGRADECIDO.,
C01_Strings_SB/0304_GoodLad,{75}¡BUEN CHICO!,
C01_Strings_SB/0304_LatchLived,"JOTA VIVÍA EN #{140}MOYO,{100} #TIERRA DE {140}CREATIVIDAD.",
C01_Strings_SB/0304_RuledBy,MOYO ESTABA #GOBERNADO POR LA BONDADOSA #{140}REINA CROMA.,
C01_Strings_SB/0304_WellDone,{75}¡BIEN HECHO!,
C01_Strings_SB/0506_FromAfar,"EN LA DISTANCIA, SONABA #{150}UNA MÚSICA MUY EMOCIONANTE...",
C01_Strings_SB/0506_HeGotDressed,ASÍ QUE SE VISTIÓ #Y SALIÓ A #{125}INVESTIGAR...,
C01_Strings_SB/0506_LatchAwoke,"UNA BUENA MAÑANA, #JOTA SE DESPERTÓ",
C01_Strings_SB/0506_LeaptFromBed,Y SALTÓ #VALIENTEMENTE #DE SU CAMA.,
C01_Strings_SB/0506a_GrippingBooks,Y LAS LEÍAN #{140}CON AVIDEZ.,
C01_Strings_SB/0506a_JotAWriter,JOTA TAMBIÉN ERA #{140}ESCRITOR,
C01_Strings_SB/0506a_TalesRead,A LOS HABITANTES #DE MOYO #{140}LES APASIONABAN{100} #ESTAS HISTORIAS...,
C01_Strings_SB/0506a_TranscribeAdventures,Y SIEMPRE #TRANSCRIBÍA #SUS AVENTURAS #{140}EN CUENTOS.,
C01_Strings_SB/0708_ChapterOne,CAPÍTULO UNO,
C01_Strings_SB/0708_SomeSeriousBeeswax,LA ABEJA Y EL TEJÓN,
C01_Strings_SB/0910_MusicBooming,LA MÚSICA RETUMBABA.,
C01_Strings_SB/0910_InvestigateMusic,JOTA SENTÍA LA IMPERIOSA NECESIDAD DE INVESTIGAR ESA MÚSICA...,
C01_Strings_SB/0910_MoonbeardDJ_WaxAdventures,"{120}¡¿OYES ESO, MUCHACHO?! @{120}¡AUNQUE CREO QUE PODRÍA ESTAR UN POCO MÁS ALTO! @{120}¡TODOS A BORDO DEL EXPRESO DE BARBALUNA! @{120}DESTINO... {150}¡CIUDAD BAILE!",
C01_Strings_SB/0910_PipChat01,"¡YUPI, UNA MINIAVENTURA! TÚ TE OCUPAS DE LOS DUENDES Y YO DE LLEVAR LA CERA, ¿VALE? @... @AH, SÍ, HAY DUENDES... @PERO PARA TI NO SON NINGÚN PROBLEMA, @¿VERDAD, JOTA?",
C01_Strings_SB/0910_WoodsBeckoned,EL BOSQUE LO LLAMABA...,
C01_Strings_SB/1112_AhLatch,"«¡JOTA, AMIGO MÍO!»,",
C01_Strings_SB/1112_HeExclaimed,EXCLAMÓ.,
C01_Strings_SB/1112_ImOnARoll,«¡ESTOY QUE ME SALGO! ¡ESTOY VIAJANDO A UNA NUEVA DIMENSIÓN MUSICAL!,
C01_Strings_SB/1112_SinceYoureHere,"YA QUE ESTÁS AQUÍ, MUCHACHO, TENGO QUE PEDIRTE UN FAVORCILLO...»",
C01_Strings_SB/1112_ThisWasTheHouse,"JOTA ENTRÓ EN CASA #{150}DEL BUEN MAGO BARBALUNA, #SU AMIGO Y {134}MENTOR.",
C01_Strings_SB/1314_INeedMore,"«¡NECESITO MÁS CERA, MUCHACHO!",
C01_Strings_SB/1314_PipHere,«¡{150}PIP #TE #ACOMPAÑARÁ!»,
C01_Strings_SB/1314_ToPressMoreRecords,"PARA HACER MÁS DISCOS, ¿SABES?»",
